epoch,loss
0,0.5476190476190477
1,0.5677655677655677
2,0.5659340659340659
3,0.5879120879120879
4,0.6062271062271062
5,0.6556776556776557
6,0.6575091575091575
7,0.7014652014652014
8,0.7564102564102564
9,0.7362637362637363
10,0.7655677655677655
11,0.8516483516483516
12,0.9065934065934066
13,0.9358974358974359
14,0.978021978021978
15,0.9908424908424909
16,0.9908424908424909
17,0.9871794871794872
18,0.9981684981684982
19,0.9963369963369964
20,0.9945054945054945
21,0.9981684981684982
22,0.9981684981684982
23,0.9981684981684982
24,0.9981684981684982
25,0.9981684981684982
26,1.0
27,1.0
28,1.0
29,1.0
30,1.0
31,1.0
32,1.0
33,1.0
34,1.0
35,1.0
36,1.0
37,1.0
38,1.0
39,1.0
40,1.0
41,1.0
42,1.0
43,1.0
44,1.0
45,1.0
46,1.0
47,1.0
48,1.0
49,1.0
