epoch,loss
0,5.468095242977142
0,5.339533865451813
0,5.1197265684604645
0,4.900886073708534
0,5.319719448685646
0,4.7541073858737946
1,4.295537158846855
1,5.292499586939812
1,4.739069417119026
1,4.684015080332756
1,4.69508720934391
1,5.2188300639390945
2,4.395058058202267
2,4.410917870700359
2,5.052986592054367
2,4.664514794945717
2,4.300221763551235
2,4.710352212190628
3,4.531010627746582
3,4.047275006771088
3,4.43048020452261
3,3.9912139251828194
3,4.4549566730856895
3,4.216557152569294
4,4.654915288090706
4,4.109342209994793
4,3.7822432965040207
4,4.293221615254879
4,3.9567666351795197
4,4.087290324270725
5,4.435332000255585
5,4.284357845783234
5,3.8134673349559307
5,4.215540092438459
5,3.851339265704155
5,4.140652537345886
6,3.5523160621523857
6,4.742635324597359
6,4.214096285402775
6,3.7923715114593506
6,3.872002564370632
6,3.398288272321224
7,3.25717406719923
7,3.995892770588398
7,3.512856774032116
7,3.2737131007015705
7,3.0666648037731647
7,4.214573875069618
8,2.368602715432644
8,2.8872656486928463
8,3.696547992527485
8,3.3754493556916714
8,2.7481546327471733
8,2.899573042988777
9,2.269204866141081
9,2.9891533236950636
9,2.8685972169041634
9,3.218352112919092
9,2.1188514195382595
9,1.8583516255021095
10,1.5874824579805136
10,2.0409314576536417
10,2.437968797981739
10,1.4125765534117818
10,2.327423113398254
10,1.6689548455178738
11,0.9008744624443352
11,0.7006891562486999
11,0.7207681149011478
11,1.309868826996535
11,1.0134898498654366
11,1.4233243468916044
12,1.0086382587905973
12,0.8940985510125756
12,0.9324959933292121
12,0.7495197063835803
12,1.2828954709111713
12,0.9783604519907385
13,0.3963011942105368
13,1.040659956401214
13,0.6250486909993924
13,1.4122359728789888
13,0.7788169804844074
13,0.3144549679782358
14,0.6543395595326729
14,0.6833379717645585
14,0.5679304557852447
14,0.38661322090774775
14,0.5867317019401526
14,0.22206842864397913
15,0.07646732544526458
15,0.04849627815565327
15,0.1756095675373217
15,0.06588110156008042
15,0.02601794588190387
15,0.22300109791831346
16,0.14129611890530214
16,0.03932457662449451
16,0.23798829357110662
16,0.09265337578835897
16,0.018170298768382054
16,0.1899439820635962
17,0.5289574833295774
17,0.03664181281419587
17,0.016384262836254493
17,0.03490299254008278
17,0.030221166482078843
17,0.104483924636952
18,0.006751701117082121
18,0.006422398206723301
18,0.010473324597114697
18,0.2642271461809287
18,0.18088538116171549
18,0.027218969726163778
19,0.010854011472474667
19,0.00788608229959209
19,0.022678102013060197
19,0.6245845926669062
19,0.10857073492661584
19,0.08325853545829887
20,0.026077062146214303
20,0.0326545842744963
20,0.35138823766646965
20,0.09261213764693821
20,0.01411623413923735
20,0.031357642148577725
21,0.014164086398977815
21,0.016266478488432767
21,0.012881789427410695
21,0.008131573475679943
21,0.08672128581088145
21,0.039891421101856395
22,0.010735153013229137
22,0.004017003187982482
22,0.008588823044647143
22,0.006472898189485932
22,0.0037587683018500684
22,0.0057708942413228215
23,0.003954672105692225
23,0.0035620303178802715
23,0.0023969976809894433
23,0.01539713376587315
23,0.0804937197332265
23,0.0044273895045989775
24,0.004662479564103705
24,0.07058008163556906
24,0.002901750387309221
24,0.08281187280277891
24,0.0034149205962421547
24,0.0021636206051880436
25,0.0023970720480974705
25,0.06298624799092067
25,0.006094591068631416
25,0.0026553814037129087
25,0.0030057117990054394
25,0.06539752750086336
26,0.002578362706117332
26,0.0018161007806156704
26,0.0031662349902035203
26,0.05866667872226117
26,0.048261601373951635
26,0.002592911938108955
27,0.002186650221119635
27,0.03585656857455888
27,0.052004201168642794
27,0.0022728256017217063
27,0.0013937339250560399
27,0.0010922529561412375
28,0.0017023516209064837
28,0.044909461326824385
28,0.001431407682957797
28,0.0461789541698181
28,0.0018893623015401317
28,0.002613031844930447
29,0.0018986242339451564
29,0.0010595619696687208
29,0.007422512710718365
29,0.0017752277206000144
29,0.0015485665697951845
29,0.052050777659587766
30,0.06701291196145576
30,0.0009115159521684291
30,0.00161436416323113
30,0.0017298107586611877
30,0.0009043114241649164
30,0.001354445110450797
31,0.0015103947339412116
31,0.010596644280212786
31,0.03353342726086339
31,0.0017313244923116144
31,0.003148882677351139
31,0.0008922449916326514
32,0.0011472220012365142
32,0.0010401462462823474
32,0.0011314792900520843
32,0.0018881549827938215
32,0.002875681166869981
32,0.04732915396829185
33,0.001818539760307658
33,0.002636533698932908
33,0.0016796005293713279
33,0.0020246331395412653
