epoch,loss
0,1.0125462739136968
1,0.9665597873012515
2,0.923306719012504
3,0.8876927377533739
4,0.8557695552815486
5,0.8364685271343175
6,0.7715003760191645
7,0.6879199663326688
8,0.6209609251822868
9,0.5096388495098936
10,0.3839471394835162
11,0.23778153173999358
12,0.18952858773906492
13,0.13922007703991354
14,0.09840514844225678
15,0.020833307187507154
16,0.022252868162122866
17,0.022369436525778393
18,0.014799196143661384
19,0.027823242831276147
20,0.016550988310716566
21,0.0057914395375306795
22,0.005155094994415445
23,0.0033793834606353646
24,0.004979725202990738
25,0.004210260914481688
26,0.00347175055284703
27,0.002828076404316263
28,0.0029319586139936924
29,0.0019742465490369555
30,0.0021700049450685643
31,0.0015368330233704777
32,0.001642559039734215
33,0.0019603191136265572
34,0.005093298949973724
35,0.0013237716335320361
36,0.001030835888940581
37,0.0012661156154711926
38,0.000704572681379357
39,0.0004961205723434283
40,0.0004139984169934829
41,0.0003840992599080447
42,0.00035678238247625904
43,0.0002885175486809169
44,0.00022232379792848885
45,0.0002170587840774768
46,0.00020072959433401597
47,0.00018797405021274264
48,0.00017466422316067483
49,0.00016330735457920764
